  R(mm),x(-),
  0.1660E-05,  0.1506E-01,
  0.1670E-05,  0.1433E-01,
  0.1680E-05,  0.1363E-01,
  0.1690E-05,  0.1295E-01,
  0.1700E-05,  0.1231E-01,
  0.1710E-05,  0.1169E-01,
  0.1720E-05,  0.1110E-01,
  0.1730E-05,  0.1054E-01,
  0.1740E-05,  0.1000E-01,
  0.1750E-05,  0.9485E-02,
  0.1760E-05,  0.8992E-02,
  0.1770E-05,  0.8521E-02,
  0.1780E-05,  0.8072E-02,
  0.1790E-05,  0.7643E-02,
  0.1800E-05,  0.7234E-02,
  0.1810E-05,  0.6845E-02,
  0.1820E-05,  0.6473E-02,
  0.1830E-05,  0.6120E-02,
  0.1840E-05,  0.5783E-02,
  0.1850E-05,  0.5462E-02,
  0.1860E-05,  0.5158E-02,
  0.1870E-05,  0.4868E-02,
  0.1880E-05,  0.4592E-02,
  0.1890E-05,  0.4331E-02,
  0.1900E-05,  0.4082E-02,
  0.1910E-05,  0.3847E-02,
  0.1920E-05,  0.3623E-02,
  0.1930E-05,  0.3411E-02,
  0.1940E-05,  0.3210E-02,
  0.1950E-05,  0.3020E-02,
  0.1960E-05,  0.2840E-02,
  0.1970E-05,  0.2669E-02,
  0.1980E-05,  0.2508E-02,
  0.1990E-05,  0.2355E-02,
