  R(mm),x(-),
  0.0000E+00,  0.5662E+00,
  0.1000E-07,  0.5659E+00,
  0.2000E-07,  0.5657E+00,
  0.3000E-07,  0.5654E+00,
  0.4000E-07,  0.5650E+00,
  0.5000E-07,  0.5645E+00,
  0.6000E-07,  0.5639E+00,
  0.7000E-07,  0.5631E+00,
  0.8000E-07,  0.5622E+00,
  0.9000E-07,  0.5612E+00,
  0.1000E-06,  0.5601E+00,
  0.1100E-06,  0.5589E+00,
  0.1200E-06,  0.5576E+00,
  0.1300E-06,  0.5561E+00,
  0.1400E-06,  0.5545E+00,
  0.1500E-06,  0.5528E+00,
  0.1600E-06,  0.5510E+00,
  0.1700E-06,  0.5491E+00,
  0.1800E-06,  0.5471E+00,
  0.1900E-06,  0.5450E+00,
  0.2000E-06,  0.5427E+00,
  0.2100E-06,  0.5404E+00,
  0.2200E-06,  0.5379E+00,
  0.2300E-06,  0.5354E+00,
  0.2400E-06,  0.5327E+00,
  0.2500E-06,  0.5299E+00,
  0.2600E-06,  0.5271E+00,
  0.2700E-06,  0.5241E+00,
  0.2800E-06,  0.5210E+00,
  0.2900E-06,  0.5179E+00,
  0.3000E-06,  0.5146E+00,
  0.3100E-06,  0.5112E+00,
  0.3200E-06,  0.5078E+00,
  0.3300E-06,  0.5042E+00,
  0.3400E-06,  0.5006E+00,
  0.3500E-06,  0.4969E+00,
  0.3600E-06,  0.4931E+00,
  0.3700E-06,  0.4892E+00,
  0.3800E-06,  0.4852E+00,
  0.3900E-06,  0.4812E+00,
  0.4000E-06,  0.4770E+00,
  0.4100E-06,  0.4728E+00,
  0.4200E-06,  0.4685E+00,
  0.4300E-06,  0.4642E+00,
  0.4400E-06,  0.4598E+00,
  0.4500E-06,  0.4553E+00,
  0.4600E-06,  0.4507E+00,
  0.4700E-06,  0.4461E+00,
  0.4800E-06,  0.4414E+00,
  0.4900E-06,  0.4367E+00,
  0.5000E-06,  0.4319E+00,
  0.5100E-06,  0.4270E+00,
  0.5200E-06,  0.4221E+00,
  0.5300E-06,  0.4172E+00,
  0.5400E-06,  0.4122E+00,
  0.5500E-06,  0.4071E+00,
  0.5600E-06,  0.4020E+00,
  0.5700E-06,  0.3969E+00,
  0.5800E-06,  0.3917E+00,
  0.5900E-06,  0.3865E+00,
  0.6000E-06,  0.3813E+00,
  0.6100E-06,  0.3761E+00,
  0.6200E-06,  0.3708E+00,
  0.6300E-06,  0.3655E+00,
  0.6400E-06,  0.3601E+00,
  0.6500E-06,  0.3548E+00,
  0.6600E-06,  0.3494E+00,
  0.6700E-06,  0.3441E+00,
  0.6800E-06,  0.3387E+00,
  0.6900E-06,  0.3333E+00,
  0.7000E-06,  0.3279E+00,
  0.7100E-06,  0.3225E+00,
  0.7200E-06,  0.3171E+00,
  0.7300E-06,  0.3117E+00,
  0.7400E-06,  0.3063E+00,
  0.7500E-06,  0.3009E+00,
  0.7600E-06,  0.2955E+00,
  0.7700E-06,  0.2902E+00,
  0.7800E-06,  0.2848E+00,
  0.7900E-06,  0.2795E+00,
  0.8000E-06,  0.2742E+00,
  0.8100E-06,  0.2689E+00,
  0.8200E-06,  0.2636E+00,
  0.8300E-06,  0.2583E+00,
  0.8400E-06,  0.2531E+00,
  0.8500E-06,  0.2479E+00,
  0.8600E-06,  0.2428E+00,
  0.8700E-06,  0.2377E+00,
  0.8800E-06,  0.2326E+00,
  0.8900E-06,  0.2276E+00,
  0.9000E-06,  0.2226E+00,
  0.9100E-06,  0.2176E+00,
  0.9200E-06,  0.2127E+00,
  0.9300E-06,  0.2078E+00,
  0.9400E-06,  0.2030E+00,
  0.9500E-06,  0.1982E+00,
  0.9600E-06,  0.1935E+00,
  0.9700E-06,  0.1888E+00,
  0.9800E-06,  0.1842E+00,
  0.9900E-06,  0.1796E+00,
  0.1000E-05,  0.1751E+00,
  0.1010E-05,  0.1707E+00,
  0.1020E-05,  0.1663E+00,
  0.1030E-05,  0.1620E+00,
  0.1040E-05,  0.1577E+00,
  0.1050E-05,  0.1535E+00,
  0.1060E-05,  0.1494E+00,
  0.1070E-05,  0.1453E+00,
  0.1080E-05,  0.1413E+00,
  0.1090E-05,  0.1373E+00,
  0.1100E-05,  0.1334E+00,
  0.1110E-05,  0.1296E+00,
  0.1120E-05,  0.1259E+00,
  0.1130E-05,  0.1222E+00,
  0.1140E-05,  0.1185E+00,
  0.1150E-05,  0.1150E+00,
  0.1160E-05,  0.1115E+00,
  0.1170E-05,  0.1081E+00,
  0.1180E-05,  0.1048E+00,
  0.1190E-05,  0.1015E+00,
  0.1200E-05,  0.9826E-01,
  0.1210E-05,  0.9512E-01,
  0.1220E-05,  0.9205E-01,
  0.1230E-05,  0.8904E-01,
  0.1240E-05,  0.8610E-01,
  0.1250E-05,  0.8323E-01,
  0.1260E-05,  0.8043E-01,
  0.1270E-05,  0.7769E-01,
  0.1280E-05,  0.7502E-01,
  0.1290E-05,  0.7241E-01,
  0.1300E-05,  0.6987E-01,
  0.1310E-05,  0.6740E-01,
  0.1320E-05,  0.6499E-01,
  0.1330E-05,  0.6264E-01,
  0.1340E-05,  0.6035E-01,
  0.1350E-05,  0.5813E-01,
  0.1360E-05,  0.5597E-01,
  0.1370E-05,  0.5387E-01,
  0.1380E-05,  0.5182E-01,
  0.1390E-05,  0.4984E-01,
  0.1400E-05,  0.4792E-01,
  0.1410E-05,  0.4605E-01,
  0.1420E-05,  0.4424E-01,
  0.1430E-05,  0.4248E-01,
  0.1440E-05,  0.4078E-01,
  0.1450E-05,  0.3913E-01,
  0.1460E-05,  0.3754E-01,
  0.1470E-05,  0.3599E-01,
  0.1480E-05,  0.3450E-01,
  0.1490E-05,  0.3305E-01,
  0.1500E-05,  0.3166E-01,
  0.1510E-05,  0.3031E-01,
  0.1520E-05,  0.2901E-01,
  0.1530E-05,  0.2775E-01,
  0.1540E-05,  0.2654E-01,
  0.1550E-05,  0.2537E-01,
  0.1560E-05,  0.2424E-01,
  0.1570E-05,  0.2315E-01,
  0.1580E-05,  0.2211E-01,
  0.1590E-05,  0.2110E-01,
  0.1600E-05,  0.2013E-01,
  0.1610E-05,  0.1920E-01,
  0.1620E-05,  0.1830E-01,
  0.1630E-05,  0.1744E-01,
  0.1640E-05,  0.1661E-01,
  0.1650E-05,  0.1582E-01,
