  R(mm),x(-),
  0.0000E+00,  0.3728E+00,
  0.1000E-07,  0.3726E+00,
  0.2000E-07,  0.3725E+00,
  0.3000E-07,  0.3723E+00,
  0.4000E-07,  0.3721E+00,
  0.5000E-07,  0.3718E+00,
  0.6000E-07,  0.3714E+00,
  0.7000E-07,  0.3709E+00,
  0.8000E-07,  0.3704E+00,
  0.9000E-07,  0.3697E+00,
  0.1000E-06,  0.3691E+00,
  0.1100E-06,  0.3683E+00,
  0.1200E-06,  0.3675E+00,
  0.1300E-06,  0.3666E+00,
  0.1400E-06,  0.3656E+00,
  0.1500E-06,  0.3646E+00,
  0.1600E-06,  0.3635E+00,
  0.1700E-06,  0.3623E+00,
  0.1800E-06,  0.3611E+00,
  0.1900E-06,  0.3598E+00,
  0.2000E-06,  0.3584E+00,
  0.2100E-06,  0.3569E+00,
  0.2200E-06,  0.3554E+00,
  0.2300E-06,  0.3539E+00,
  0.2400E-06,  0.3522E+00,
  0.2500E-06,  0.3505E+00,
  0.2600E-06,  0.3488E+00,
  0.2700E-06,  0.3470E+00,
  0.2800E-06,  0.3451E+00,
  0.2900E-06,  0.3432E+00,
  0.3000E-06,  0.3412E+00,
  0.3100E-06,  0.3391E+00,
  0.3200E-06,  0.3370E+00,
  0.3300E-06,  0.3349E+00,
  0.3400E-06,  0.3326E+00,
  0.3500E-06,  0.3304E+00,
  0.3600E-06,  0.3281E+00,
  0.3700E-06,  0.3257E+00,
  0.3800E-06,  0.3233E+00,
  0.3900E-06,  0.3208E+00,
  0.4000E-06,  0.3183E+00,
  0.4100E-06,  0.3158E+00,
  0.4200E-06,  0.3132E+00,
  0.4300E-06,  0.3105E+00,
  0.4400E-06,  0.3078E+00,
  0.4500E-06,  0.3051E+00,
  0.4600E-06,  0.3024E+00,
  0.4700E-06,  0.2996E+00,
  0.4800E-06,  0.2967E+00,
  0.4900E-06,  0.2939E+00,
  0.5000E-06,  0.2910E+00,
  0.5100E-06,  0.2880E+00,
  0.5200E-06,  0.2851E+00,
  0.5300E-06,  0.2821E+00,
  0.5400E-06,  0.2791E+00,
  0.5500E-06,  0.2760E+00,
  0.5600E-06,  0.2729E+00,
  0.5700E-06,  0.2698E+00,
  0.5800E-06,  0.2667E+00,
  0.5900E-06,  0.2636E+00,
  0.6000E-06,  0.2604E+00,
  0.6100E-06,  0.2573E+00,
  0.6200E-06,  0.2541E+00,
  0.6300E-06,  0.2509E+00,
  0.6400E-06,  0.2477E+00,
  0.6500E-06,  0.2444E+00,
  0.6600E-06,  0.2412E+00,
  0.6700E-06,  0.2379E+00,
  0.6800E-06,  0.2347E+00,
  0.6900E-06,  0.2314E+00,
  0.7000E-06,  0.2281E+00,
  0.7100E-06,  0.2249E+00,
  0.7200E-06,  0.2216E+00,
  0.7300E-06,  0.2183E+00,
  0.7400E-06,  0.2150E+00,
  0.7500E-06,  0.2118E+00,
  0.7600E-06,  0.2085E+00,
  0.7700E-06,  0.2052E+00,
  0.7800E-06,  0.2020E+00,
  0.7900E-06,  0.1987E+00,
  0.8000E-06,  0.1955E+00,
  0.8100E-06,  0.1922E+00,
  0.8200E-06,  0.1890E+00,
  0.8300E-06,  0.1858E+00,
  0.8400E-06,  0.1826E+00,
  0.8500E-06,  0.1794E+00,
  0.8600E-06,  0.1762E+00,
  0.8700E-06,  0.1731E+00,
  0.8800E-06,  0.1699E+00,
  0.8900E-06,  0.1668E+00,
  0.9000E-06,  0.1637E+00,
  0.9100E-06,  0.1606E+00,
  0.9200E-06,  0.1576E+00,
  0.9300E-06,  0.1545E+00,
  0.9400E-06,  0.1515E+00,
  0.9500E-06,  0.1485E+00,
  0.9600E-06,  0.1456E+00,
  0.9700E-06,  0.1426E+00,
  0.9800E-06,  0.1397E+00,
  0.9900E-06,  0.1368E+00,
  0.1000E-05,  0.1339E+00,
  0.1010E-05,  0.1311E+00,
  0.1020E-05,  0.1283E+00,
  0.1030E-05,  0.1255E+00,
  0.1040E-05,  0.1228E+00,
  0.1050E-05,  0.1201E+00,
  0.1060E-05,  0.1174E+00,
  0.1070E-05,  0.1147E+00,
  0.1080E-05,  0.1121E+00,
  0.1090E-05,  0.1095E+00,
  0.1100E-05,  0.1070E+00,
  0.1110E-05,  0.1045E+00,
  0.1120E-05,  0.1020E+00,
  0.1130E-05,  0.9952E-01,
  0.1140E-05,  0.9711E-01,
  0.1150E-05,  0.9473E-01,
  0.1160E-05,  0.9238E-01,
  0.1170E-05,  0.9007E-01,
  0.1180E-05,  0.8780E-01,
  0.1190E-05,  0.8556E-01,
  0.1200E-05,  0.8336E-01,
  0.1210E-05,  0.8119E-01,
  0.1220E-05,  0.7906E-01,
  0.1230E-05,  0.7697E-01,
  0.1240E-05,  0.7491E-01,
  0.1250E-05,  0.7289E-01,
  0.1260E-05,  0.7090E-01,
  0.1270E-05,  0.6895E-01,
  0.1280E-05,  0.6704E-01,
  0.1290E-05,  0.6517E-01,
  0.1300E-05,  0.6333E-01,
  0.1310E-05,  0.6152E-01,
  0.1320E-05,  0.5975E-01,
  0.1330E-05,  0.5802E-01,
  0.1340E-05,  0.5632E-01,
  0.1350E-05,  0.5466E-01,
  0.1360E-05,  0.5304E-01,
  0.1370E-05,  0.5145E-01,
  0.1380E-05,  0.4989E-01,
  0.1390E-05,  0.4837E-01,
  0.1400E-05,  0.4688E-01,
  0.1410E-05,  0.4542E-01,
  0.1420E-05,  0.4400E-01,
  0.1430E-05,  0.4261E-01,
  0.1440E-05,  0.4126E-01,
  0.1450E-05,  0.3994E-01,
  0.1460E-05,  0.3864E-01,
  0.1470E-05,  0.3739E-01,
  0.1480E-05,  0.3616E-01,
  0.1490E-05,  0.3496E-01,
  0.1500E-05,  0.3379E-01,
  0.1510E-05,  0.3266E-01,
  0.1520E-05,  0.3155E-01,
  0.1530E-05,  0.3047E-01,
  0.1540E-05,  0.2943E-01,
  0.1550E-05,  0.2841E-01,
  0.1560E-05,  0.2741E-01,
  0.1570E-05,  0.2645E-01,
  0.1580E-05,  0.2551E-01,
  0.1590E-05,  0.2460E-01,
  0.1600E-05,  0.2371E-01,
  0.1610E-05,  0.2285E-01,
  0.1620E-05,  0.2202E-01,
  0.1630E-05,  0.2121E-01,
  0.1640E-05,  0.2042E-01,
  0.1650E-05,  0.1966E-01,
  0.1660E-05,  0.1892E-01,
  0.1670E-05,  0.1821E-01,
  0.1680E-05,  0.1751E-01,
  0.1690E-05,  0.1684E-01,
  0.1700E-05,  0.1619E-01,
  0.1710E-05,  0.1556E-01,
  0.1720E-05,  0.1495E-01,
  0.1730E-05,  0.1436E-01,
  0.1740E-05,  0.1379E-01,
  0.1750E-05,  0.1324E-01,
  0.1760E-05,  0.1270E-01,
  0.1770E-05,  0.1219E-01,
  0.1780E-05,  0.1169E-01,
  0.1790E-05,  0.1121E-01,
  0.1800E-05,  0.1075E-01,
  0.1810E-05,  0.1030E-01,
  0.1820E-05,  0.9867E-02,
  0.1830E-05,  0.9451E-02,
  0.1840E-05,  0.9050E-02,
  0.1850E-05,  0.8663E-02,
  0.1860E-05,  0.8290E-02,
  0.1870E-05,  0.7932E-02,
  0.1880E-05,  0.7586E-02,
  0.1890E-05,  0.7254E-02,
  0.1900E-05,  0.6934E-02,
  0.1910E-05,  0.6626E-02,
  0.1920E-05,  0.6330E-02,
  0.1930E-05,  0.6046E-02,
  0.1940E-05,  0.5772E-02,
  0.1950E-05,  0.5510E-02,
  0.1960E-05,  0.5258E-02,
  0.1970E-05,  0.5016E-02,
  0.1980E-05,  0.4783E-02,
  0.1990E-05,  0.4561E-02,
