  R(mm),x(-),
  0.0000E+00,  0.6998E+00,
  0.1000E-07,  0.6995E+00,
  0.2000E-07,  0.6993E+00,
  0.3000E-07,  0.6989E+00,
  0.4000E-07,  0.6985E+00,
  0.5000E-07,  0.6978E+00,
  0.6000E-07,  0.6971E+00,
  0.7000E-07,  0.6962E+00,
  0.8000E-07,  0.6951E+00,
  0.9000E-07,  0.6939E+00,
  0.1000E-06,  0.6926E+00,
  0.1100E-06,  0.6911E+00,
  0.1200E-06,  0.6895E+00,
  0.1300E-06,  0.6878E+00,
  0.1400E-06,  0.6859E+00,
  0.1500E-06,  0.6839E+00,
  0.1600E-06,  0.6817E+00,
  0.1700E-06,  0.6794E+00,
  0.1800E-06,  0.6770E+00,
  0.1900E-06,  0.6744E+00,
  0.2000E-06,  0.6717E+00,
  0.2100E-06,  0.6689E+00,
  0.2200E-06,  0.6659E+00,
  0.2300E-06,  0.6628E+00,
  0.2400E-06,  0.6596E+00,
  0.2500E-06,  0.6562E+00,
  0.2600E-06,  0.6527E+00,
  0.2700E-06,  0.6491E+00,
  0.2800E-06,  0.6454E+00,
  0.2900E-06,  0.6415E+00,
  0.3000E-06,  0.6375E+00,
  0.3100E-06,  0.6334E+00,
  0.3200E-06,  0.6291E+00,
  0.3300E-06,  0.6248E+00,
  0.3400E-06,  0.6203E+00,
  0.3500E-06,  0.6157E+00,
  0.3600E-06,  0.6110E+00,
  0.3700E-06,  0.6062E+00,
  0.3800E-06,  0.6013E+00,
  0.3900E-06,  0.5963E+00,
  0.4000E-06,  0.5911E+00,
  0.4100E-06,  0.5859E+00,
  0.4200E-06,  0.5805E+00,
  0.4300E-06,  0.5751E+00,
  0.4400E-06,  0.5695E+00,
  0.4500E-06,  0.5639E+00,
  0.4600E-06,  0.5582E+00,
  0.4700E-06,  0.5523E+00,
  0.4800E-06,  0.5464E+00,
  0.4900E-06,  0.5405E+00,
  0.5000E-06,  0.5344E+00,
  0.5100E-06,  0.5282E+00,
  0.5200E-06,  0.5220E+00,
  0.5300E-06,  0.5157E+00,
