  R(mm),x(-),
  0.0000E+00,  0.9998E+00,
  0.1000E-07,  0.9998E+00,
  0.2000E-07,  0.9998E+00,
  0.3000E-07,  0.9998E+00,
  0.4000E-07,  0.9998E+00,
  0.5000E-07,  0.9998E+00,
  0.6000E-07,  0.9997E+00,
  0.7000E-07,  0.9997E+00,
  0.8000E-07,  0.9997E+00,
  0.9000E-07,  0.9997E+00,
  0.1000E-06,  0.9997E+00,
  0.1100E-06,  0.9996E+00,
  0.1200E-06,  0.9996E+00,
  0.1300E-06,  0.9995E+00,
  0.1400E-06,  0.9995E+00,
  0.1500E-06,  0.9994E+00,
  0.1600E-06,  0.9994E+00,
  0.1700E-06,  0.9993E+00,
  0.1800E-06,  0.9992E+00,
  0.1900E-06,  0.9991E+00,
  0.2000E-06,  0.9990E+00,
  0.2100E-06,  0.9989E+00,
  0.2200E-06,  0.9988E+00,
  0.2300E-06,  0.9986E+00,
  0.2400E-06,  0.9984E+00,
  0.2500E-06,  0.9982E+00,
  0.2600E-06,  0.9980E+00,
  0.2700E-06,  0.9978E+00,
  0.2800E-06,  0.9975E+00,
  0.2900E-06,  0.9971E+00,
  0.3000E-06,  0.9968E+00,
  0.3100E-06,  0.9964E+00,
  0.3200E-06,  0.9959E+00,
  0.3300E-06,  0.9954E+00,
  0.3400E-06,  0.9948E+00,
  0.3500E-06,  0.9942E+00,
  0.3600E-06,  0.9934E+00,
  0.3700E-06,  0.9926E+00,
  0.3800E-06,  0.9917E+00,
  0.3900E-06,  0.9907E+00,
  0.4000E-06,  0.9896E+00,
  0.4100E-06,  0.9884E+00,
  0.4200E-06,  0.9870E+00,
  0.4300E-06,  0.9855E+00,
  0.4400E-06,  0.9839E+00,
  0.4500E-06,  0.9820E+00,
  0.4600E-06,  0.9800E+00,
  0.4700E-06,  0.9778E+00,
  0.4800E-06,  0.9754E+00,
  0.4900E-06,  0.9728E+00,
  0.5000E-06,  0.9699E+00,
  0.5100E-06,  0.9667E+00,
  0.5200E-06,  0.9633E+00,
  0.5300E-06,  0.9596E+00,
  0.5400E-06,  0.9556E+00,
  0.5500E-06,  0.9512E+00,
  0.5600E-06,  0.9465E+00,
  0.5700E-06,  0.9414E+00,
  0.5800E-06,  0.9360E+00,
  0.5900E-06,  0.9301E+00,
  0.6000E-06,  0.9239E+00,
  0.6100E-06,  0.9172E+00,
  0.6200E-06,  0.9100E+00,
  0.6300E-06,  0.9024E+00,
  0.6400E-06,  0.8943E+00,
  0.6500E-06,  0.8857E+00,
  0.6600E-06,  0.8767E+00,
  0.6700E-06,  0.8671E+00,
  0.6800E-06,  0.8570E+00,
  0.6900E-06,  0.8464E+00,
  0.7000E-06,  0.8352E+00,
  0.7100E-06,  0.8235E+00,
  0.7200E-06,  0.8113E+00,
  0.7300E-06,  0.7986E+00,
  0.7400E-06,  0.7853E+00,
  0.7500E-06,  0.7716E+00,
  0.7600E-06,  0.7573E+00,
  0.7700E-06,  0.7426E+00,
  0.7800E-06,  0.7273E+00,
  0.7900E-06,  0.7117E+00,
  0.8000E-06,  0.6956E+00,
  0.8100E-06,  0.6791E+00,
  0.8200E-06,  0.6622E+00,
  0.8300E-06,  0.6449E+00,
  0.8400E-06,  0.6274E+00,
  0.8500E-06,  0.6095E+00,
  0.8600E-06,  0.5914E+00,
  0.8700E-06,  0.5731E+00,
  0.8800E-06,  0.5547E+00,
  0.8900E-06,  0.5360E+00,
  0.9000E-06,  0.5173E+00,
  0.9100E-06,  0.4986E+00,
  0.9200E-06,  0.4798E+00,
  0.9300E-06,  0.4611E+00,
  0.9400E-06,  0.4424E+00,
  0.9500E-06,  0.4238E+00,
  0.9600E-06,  0.4054E+00,
  0.9700E-06,  0.3872E+00,
  0.9800E-06,  0.3693E+00,
  0.9900E-06,  0.3516E+00,
  0.1000E-05,  0.3342E+00,
  0.1010E-05,  0.3171E+00,
  0.1020E-05,  0.3004E+00,
  0.1030E-05,  0.2841E+00,
  0.1040E-05,  0.2683E+00,
  0.1050E-05,  0.2529E+00,
  0.1060E-05,  0.2379E+00,
  0.1070E-05,  0.2235E+00,
  0.1080E-05,  0.2095E+00,
  0.1090E-05,  0.1961E+00,
  0.1100E-05,  0.1832E+00,
  0.1110E-05,  0.1709E+00,
  0.1120E-05,  0.1590E+00,
  0.1130E-05,  0.1478E+00,
  0.1140E-05,  0.1370E+00,
  0.1150E-05,  0.1269E+00,
  0.1160E-05,  0.1172E+00,
  0.1170E-05,  0.1081E+00,
  0.1180E-05,  0.9949E-01,
  0.1190E-05,  0.9139E-01,
  0.1200E-05,  0.8380E-01,
  0.1210E-05,  0.7668E-01,
  0.1220E-05,  0.7003E-01,
  0.1230E-05,  0.6384E-01,
  0.1240E-05,  0.5807E-01,
  0.1250E-05,  0.5272E-01,
  0.1260E-05,  0.4777E-01,
  0.1270E-05,  0.4320E-01,
  0.1280E-05,  0.3899E-01,
  0.1290E-05,  0.3511E-01,
  0.1300E-05,  0.3156E-01,
  0.1310E-05,  0.2831E-01,
  0.1320E-05,  0.2534E-01,
  0.1330E-05,  0.2264E-01,
  0.1340E-05,  0.2018E-01,
  0.1350E-05,  0.1796E-01,
  0.1360E-05,  0.1594E-01,
  0.1370E-05,  0.1413E-01,
  0.1380E-05,  0.1249E-01,
  0.1390E-05,  0.1102E-01,
  0.1400E-05,  0.9701E-02,
  0.1410E-05,  0.8524E-02,
  0.1420E-05,  0.7473E-02,
  0.1430E-05,  0.6539E-02,
  0.1440E-05,  0.5709E-02,
  0.1450E-05,  0.4974E-02,
  0.1460E-05,  0.4324E-02,
  0.1470E-05,  0.3751E-02,
  0.1480E-05,  0.3247E-02,
  0.1490E-05,  0.2805E-02,
  0.1500E-05,  0.2418E-02,
  0.1510E-05,  0.2080E-02,
  0.1520E-05,  0.1785E-02,
  0.1530E-05,  0.1529E-02,
  0.1540E-05,  0.1307E-02,
  0.1550E-05,  0.1114E-02,
  0.1560E-05,  0.9484E-03,
  0.1570E-05,  0.8053E-03,
  0.1580E-05,  0.6824E-03,
  0.1590E-05,  0.5769E-03,
  0.1600E-05,  0.4867E-03,
  0.1610E-05,  0.4097E-03,
  0.1620E-05,  0.3442E-03,
  0.1630E-05,  0.2885E-03,
  0.1640E-05,  0.2413E-03,
  0.1650E-05,  0.2014E-03,
  0.1660E-05,  0.1677E-03,
  0.1670E-05,  0.1393E-03,
  0.1680E-05,  0.1155E-03,
  0.1690E-05,  0.9559E-04,
