  R(mm),x(-),
  0.1670E-05,  0.1666E-01,
  0.1680E-05,  0.1594E-01,
  0.1690E-05,  0.1526E-01,
  0.1700E-05,  0.1460E-01,
  0.1710E-05,  0.1396E-01,
  0.1720E-05,  0.1335E-01,
  0.1730E-05,  0.1275E-01,
  0.1740E-05,  0.1218E-01,
  0.1750E-05,  0.1164E-01,
  0.1760E-05,  0.1111E-01,
  0.1770E-05,  0.1060E-01,
  0.1780E-05,  0.1012E-01,
  0.1790E-05,  0.9650E-02,
  0.1800E-05,  0.9201E-02,
  0.1810E-05,  0.8770E-02,
  0.1820E-05,  0.8356E-02,
  0.1830E-05,  0.7959E-02,
  0.1840E-05,  0.7579E-02,
  0.1850E-05,  0.7214E-02,
  0.1860E-05,  0.6865E-02,
  0.1870E-05,  0.6530E-02,
  0.1880E-05,  0.6209E-02,
  0.1890E-05,  0.5903E-02,
  0.1900E-05,  0.5609E-02,
  0.1910E-05,  0.5328E-02,
  0.1920E-05,  0.5060E-02,
  0.1930E-05,  0.4803E-02,
  0.1940E-05,  0.4558E-02,
  0.1950E-05,  0.4324E-02,
  0.1960E-05,  0.4101E-02,
  0.1970E-05,  0.3888E-02,
  0.1980E-05,  0.3684E-02,
  0.1990E-05,  0.3490E-02,
