  R(mm),x(-),
  0.0000E+00,  0.8478E+00,
  0.1000E-07,  0.8474E+00,
  0.2000E-07,  0.8473E+00,
  0.3000E-07,  0.8469E+00,
  0.4000E-07,  0.8464E+00,
  0.5000E-07,  0.8458E+00,
  0.6000E-07,  0.8450E+00,
  0.7000E-07,  0.8441E+00,
  0.8000E-07,  0.8431E+00,
  0.9000E-07,  0.8419E+00,
  0.1000E-06,  0.8405E+00,
  0.1100E-06,  0.8391E+00,
  0.1200E-06,  0.8374E+00,
  0.1300E-06,  0.8357E+00,
  0.1400E-06,  0.8337E+00,
  0.1500E-06,  0.8317E+00,
  0.1600E-06,  0.8295E+00,
  0.1700E-06,  0.8271E+00,
  0.1800E-06,  0.8246E+00,
  0.1900E-06,  0.8220E+00,
  0.2000E-06,  0.8192E+00,
  0.2100E-06,  0.8162E+00,
  0.2200E-06,  0.8131E+00,
  0.2300E-06,  0.8099E+00,
  0.2400E-06,  0.8065E+00,
  0.2500E-06,  0.8029E+00,
  0.2600E-06,  0.7992E+00,
  0.2700E-06,  0.7954E+00,
  0.2800E-06,  0.7913E+00,
  0.2900E-06,  0.7872E+00,
  0.3000E-06,  0.7829E+00,
  0.3100E-06,  0.7784E+00,
  0.3200E-06,  0.7738E+00,
  0.3300E-06,  0.7690E+00,
  0.3400E-06,  0.7641E+00,
  0.3500E-06,  0.7590E+00,
  0.3600E-06,  0.7538E+00,
  0.3700E-06,  0.7484E+00,
  0.3800E-06,  0.7429E+00,
  0.3900E-06,  0.7372E+00,
  0.4000E-06,  0.7314E+00,
  0.4100E-06,  0.7254E+00,
  0.4200E-06,  0.7193E+00,
  0.4300E-06,  0.7130E+00,
  0.4400E-06,  0.7066E+00,
  0.4500E-06,  0.7000E+00,
  0.4600E-06,  0.6933E+00,
  0.4700E-06,  0.6865E+00,
  0.4800E-06,  0.6795E+00,
  0.4900E-06,  0.6724E+00,
  0.5000E-06,  0.6652E+00,
  0.5100E-06,  0.6578E+00,
  0.5200E-06,  0.6503E+00,
  0.5300E-06,  0.6427E+00,
  0.5400E-06,  0.6350E+00,
  0.5500E-06,  0.6271E+00,
  0.5600E-06,  0.6192E+00,
  0.5700E-06,  0.6111E+00,
  0.5800E-06,  0.6029E+00,
  0.5900E-06,  0.5946E+00,
  0.6000E-06,  0.5863E+00,
  0.6100E-06,  0.5778E+00,
  0.6200E-06,  0.5693E+00,
  0.6300E-06,  0.5606E+00,
  0.6400E-06,  0.5519E+00,
  0.6500E-06,  0.5431E+00,
  0.6600E-06,  0.5343E+00,
  0.6700E-06,  0.5254E+00,
  0.6800E-06,  0.5164E+00,
  0.6900E-06,  0.5074E+00,
  0.7000E-06,  0.4983E+00,
  0.7100E-06,  0.4892E+00,
  0.7200E-06,  0.4801E+00,
  0.7300E-06,  0.4709E+00,
  0.7400E-06,  0.4618E+00,
  0.7500E-06,  0.4526E+00,
  0.7600E-06,  0.4434E+00,
  0.7700E-06,  0.4341E+00,
  0.7800E-06,  0.4249E+00,
  0.7900E-06,  0.4157E+00,
  0.8000E-06,  0.4066E+00,
  0.8100E-06,  0.3974E+00,
  0.8200E-06,  0.3883E+00,
  0.8300E-06,  0.3792E+00,
  0.8400E-06,  0.3701E+00,
  0.8500E-06,  0.3611E+00,
  0.8600E-06,  0.3521E+00,
  0.8700E-06,  0.3432E+00,
  0.8800E-06,  0.3344E+00,
  0.8900E-06,  0.3256E+00,
  0.9000E-06,  0.3169E+00,
  0.9100E-06,  0.3083E+00,
  0.9200E-06,  0.2998E+00,
  0.9300E-06,  0.2913E+00,
  0.9400E-06,  0.2830E+00,
  0.9500E-06,  0.2747E+00,
  0.9600E-06,  0.2665E+00,
  0.9700E-06,  0.2585E+00,
  0.9800E-06,  0.2506E+00,
  0.9900E-06,  0.2428E+00,
  0.1000E-05,  0.2351E+00,
  0.1010E-05,  0.2275E+00,
  0.1020E-05,  0.2200E+00,
  0.1030E-05,  0.2127E+00,
  0.1040E-05,  0.2055E+00,
  0.1050E-05,  0.1985E+00,
  0.1060E-05,  0.1915E+00,
  0.1070E-05,  0.1848E+00,
  0.1080E-05,  0.1781E+00,
