  R(mm),x(-),
  0.1090E-05,  0.1716E+00,
  0.1100E-05,  0.1653E+00,
  0.1110E-05,  0.1590E+00,
  0.1120E-05,  0.1530E+00,
  0.1130E-05,  0.1471E+00,
  0.1140E-05,  0.1413E+00,
  0.1150E-05,  0.1357E+00,
  0.1160E-05,  0.1302E+00,
  0.1170E-05,  0.1249E+00,
  0.1180E-05,  0.1197E+00,
  0.1190E-05,  0.1147E+00,
  0.1200E-05,  0.1098E+00,
  0.1210E-05,  0.1050E+00,
  0.1220E-05,  0.1004E+00,
  0.1230E-05,  0.9598E-01,
  0.1240E-05,  0.9167E-01,
  0.1250E-05,  0.8750E-01,
  0.1260E-05,  0.8347E-01,
  0.1270E-05,  0.7958E-01,
  0.1280E-05,  0.7582E-01,
  0.1290E-05,  0.7219E-01,
  0.1300E-05,  0.6870E-01,
  0.1310E-05,  0.6533E-01,
  0.1320E-05,  0.6209E-01,
  0.1330E-05,  0.5897E-01,
  0.1340E-05,  0.5598E-01,
  0.1350E-05,  0.5310E-01,
  0.1360E-05,  0.5034E-01,
  0.1370E-05,  0.4769E-01,
  0.1380E-05,  0.4515E-01,
  0.1390E-05,  0.4272E-01,
  0.1400E-05,  0.4040E-01,
  0.1410E-05,  0.3818E-01,
  0.1420E-05,  0.3605E-01,
  0.1430E-05,  0.3402E-01,
  0.1440E-05,  0.3209E-01,
  0.1450E-05,  0.3025E-01,
  0.1460E-05,  0.2849E-01,
  0.1470E-05,  0.2682E-01,
  0.1480E-05,  0.2523E-01,
  0.1490E-05,  0.2371E-01,
  0.1500E-05,  0.2228E-01,
  0.1510E-05,  0.2091E-01,
  0.1520E-05,  0.1962E-01,
  0.1530E-05,  0.1840E-01,
  0.1540E-05,  0.1724E-01,
  0.1550E-05,  0.1614E-01,
  0.1560E-05,  0.1510E-01,
  0.1570E-05,  0.1412E-01,
  0.1580E-05,  0.1320E-01,
  0.1590E-05,  0.1232E-01,
  0.1600E-05,  0.1150E-01,
  0.1610E-05,  0.1072E-01,
  0.1620E-05,  0.9994E-02,
  0.1630E-05,  0.9307E-02,
  0.1640E-05,  0.8662E-02,
  0.1650E-05,  0.8055E-02,
  0.1660E-05,  0.7487E-02,
  0.1670E-05,  0.6953E-02,
  0.1680E-05,  0.6453E-02,
  0.1690E-05,  0.5985E-02,
  0.1700E-05,  0.5547E-02,
  0.1710E-05,  0.5138E-02,
  0.1720E-05,  0.4755E-02,
  0.1730E-05,  0.4398E-02,
  0.1740E-05,  0.4065E-02,
  0.1750E-05,  0.3755E-02,
  0.1760E-05,  0.3466E-02,
  0.1770E-05,  0.3196E-02,
  0.1780E-05,  0.2946E-02,
  0.1790E-05,  0.2714E-02,
  0.1800E-05,  0.2498E-02,
  0.1810E-05,  0.2297E-02,
  0.1820E-05,  0.2111E-02,
  0.1830E-05,  0.1939E-02,
  0.1840E-05,  0.1780E-02,
  0.1850E-05,  0.1633E-02,
  0.1860E-05,  0.1496E-02,
  0.1870E-05,  0.1370E-02,
  0.1880E-05,  0.1254E-02,
  0.1890E-05,  0.1147E-02,
  0.1900E-05,  0.1048E-02,
  0.1910E-05,  0.9575E-03,
  0.1920E-05,  0.8739E-03,
  0.1930E-05,  0.7970E-03,
  0.1940E-05,  0.7263E-03,
  0.1950E-05,  0.6614E-03,
  0.1960E-05,  0.6019E-03,
  0.1970E-05,  0.5474E-03,
  0.1980E-05,  0.4974E-03,
  0.1990E-05,  0.4517E-03,
