  R(mm),x(-),
  0.0000E+00,  0.9664E+00,
  0.1000E-07,  0.9662E+00,
  0.2000E-07,  0.9661E+00,
  0.3000E-07,  0.9659E+00,
  0.4000E-07,  0.9657E+00,
  0.5000E-07,  0.9653E+00,
  0.6000E-07,  0.9649E+00,
  0.7000E-07,  0.9644E+00,
  0.8000E-07,  0.9638E+00,
  0.9000E-07,  0.9631E+00,
  0.1000E-06,  0.9623E+00,
  0.1100E-06,  0.9615E+00,
  0.1200E-06,  0.9605E+00,
  0.1300E-06,  0.9595E+00,
  0.1400E-06,  0.9584E+00,
  0.1500E-06,  0.9571E+00,
  0.1600E-06,  0.9558E+00,
  0.1700E-06,  0.9544E+00,
  0.1800E-06,  0.9528E+00,
  0.1900E-06,  0.9512E+00,
  0.2000E-06,  0.9494E+00,
  0.2100E-06,  0.9476E+00,
  0.2200E-06,  0.9455E+00,
  0.2300E-06,  0.9434E+00,
  0.2400E-06,  0.9412E+00,
  0.2500E-06,  0.9388E+00,
  0.2600E-06,  0.9363E+00,
  0.2700E-06,  0.9336E+00,
  0.2800E-06,  0.9308E+00,
  0.2900E-06,  0.9278E+00,
  0.3000E-06,  0.9247E+00,
  0.3100E-06,  0.9214E+00,
  0.3200E-06,  0.9180E+00,
  0.3300E-06,  0.9143E+00,
  0.3400E-06,  0.9106E+00,
  0.3500E-06,  0.9066E+00,
  0.3600E-06,  0.9024E+00,
  0.3700E-06,  0.8981E+00,
  0.3800E-06,  0.8936E+00,
  0.3900E-06,  0.8888E+00,
  0.4000E-06,  0.8839E+00,
  0.4100E-06,  0.8788E+00,
  0.4200E-06,  0.8735E+00,
  0.4300E-06,  0.8679E+00,
  0.4400E-06,  0.8622E+00,
  0.4500E-06,  0.8562E+00,
  0.4600E-06,  0.8500E+00,
  0.4700E-06,  0.8436E+00,
  0.4800E-06,  0.8369E+00,
  0.4900E-06,  0.8300E+00,
  0.5000E-06,  0.8229E+00,
  0.5100E-06,  0.8156E+00,
  0.5200E-06,  0.8080E+00,
  0.5300E-06,  0.8002E+00,
  0.5400E-06,  0.7922E+00,
  0.5500E-06,  0.7840E+00,
  0.5600E-06,  0.7755E+00,
  0.5700E-06,  0.7668E+00,
  0.5800E-06,  0.7578E+00,
  0.5900E-06,  0.7487E+00,
  0.6000E-06,  0.7393E+00,
  0.6100E-06,  0.7297E+00,
  0.6200E-06,  0.7199E+00,
  0.6300E-06,  0.7099E+00,
  0.6400E-06,  0.6997E+00,
  0.6500E-06,  0.6893E+00,
  0.6600E-06,  0.6787E+00,
  0.6700E-06,  0.6679E+00,
  0.6800E-06,  0.6569E+00,
  0.6900E-06,  0.6458E+00,
  0.7000E-06,  0.6345E+00,
  0.7100E-06,  0.6231E+00,
  0.7200E-06,  0.6115E+00,
  0.7300E-06,  0.5998E+00,
  0.7400E-06,  0.5880E+00,
  0.7500E-06,  0.5760E+00,
  0.7600E-06,  0.5640E+00,
  0.7700E-06,  0.5519E+00,
  0.7800E-06,  0.5397E+00,
  0.7900E-06,  0.5274E+00,
  0.8000E-06,  0.5151E+00,
  0.8100E-06,  0.5027E+00,
  0.8200E-06,  0.4903E+00,
  0.8300E-06,  0.4779E+00,
  0.8400E-06,  0.4655E+00,
  0.8500E-06,  0.4531E+00,
  0.8600E-06,  0.4408E+00,
  0.8700E-06,  0.4284E+00,
  0.8800E-06,  0.4162E+00,
  0.8900E-06,  0.4039E+00,
  0.9000E-06,  0.3918E+00,
  0.9100E-06,  0.3797E+00,
  0.9200E-06,  0.3678E+00,
  0.9300E-06,  0.3559E+00,
  0.9400E-06,  0.3442E+00,
  0.9500E-06,  0.3326E+00,
  0.9600E-06,  0.3211E+00,
  0.9700E-06,  0.3098E+00,
  0.9800E-06,  0.2986E+00,
  0.9900E-06,  0.2877E+00,
  0.1000E-05,  0.2769E+00,
  0.1010E-05,  0.2663E+00,
  0.1020E-05,  0.2559E+00,
  0.1030E-05,  0.2457E+00,
  0.1040E-05,  0.2357E+00,
  0.1050E-05,  0.2259E+00,
  0.1060E-05,  0.2163E+00,
  0.1070E-05,  0.2070E+00,
  0.1080E-05,  0.1979E+00,
  0.1090E-05,  0.1891E+00,
  0.1100E-05,  0.1805E+00,
  0.1110E-05,  0.1721E+00,
  0.1120E-05,  0.1640E+00,
  0.1130E-05,  0.1561E+00,
  0.1140E-05,  0.1484E+00,
  0.1150E-05,  0.1411E+00,
  0.1160E-05,  0.1339E+00,
  0.1170E-05,  0.1270E+00,
  0.1180E-05,  0.1204E+00,
  0.1190E-05,  0.1140E+00,
  0.1200E-05,  0.1078E+00,
  0.1210E-05,  0.1019E+00,
  0.1220E-05,  0.9621E-01,
  0.1230E-05,  0.9076E-01,
  0.1240E-05,  0.8553E-01,
  0.1250E-05,  0.8053E-01,
  0.1260E-05,  0.7575E-01,
  0.1270E-05,  0.7119E-01,
  0.1280E-05,  0.6684E-01,
  0.1290E-05,  0.6269E-01,
  0.1300E-05,  0.5875E-01,
  0.1310E-05,  0.5500E-01,
  0.1320E-05,  0.5144E-01,
  0.1330E-05,  0.4806E-01,
